es;ca-ib;ca-va;ca;gl;eu;pt-eu;pt-br;en-gb;en-us;en-us-af;fr;Género
Pascuala;Pasquala;Pasquala;Pasquala;Pascuala;Paskuale;Pascoala;Pascoala;Pascale;Pascale;Pascuala;Pascale;F
Patricia;Patrícia;Patrícia;Patrícia;Patricia;Patrizia;Patrícia;Patrícia;Patricia;Patricia;Patrice;Patrice;F
Paula;Paula;Paula;Paula;Paula;Paula;Paula;Paula;Paula;Paula;Paula;Paule;F
Paulino;Paulí;Paulí;Paulí;Paulino;Paulino;Paulino;Paulino;Paulinus;Paulinus;Paulino;Paulin;M
Pedro;Pere;Pere;Pere;Pedro;Peru;Pedro;Pedro;Peter;Peter;Pedro;Pierre;M
Pelayo;Pelai;Pelai;Pelai;Paio;Pelaio;Paio;Paio;Pelagius;Pelagius;Pelayo;Pélage;M
Petronila;Petronilla;Petronilla;Petronilla;Petronila;Petronila;Petronila;Petronila;Petronilla;Petronilla;Petronila;Pétronille;F
Pilar;Pilar;Pilar;Pilar;Pilar;Miren;Pilar;Pilar;Pilar;Pilar;Pilar;Pilar;F
Plácido;Plàcid;Plàcid;Plàcid;Plácido;Plazido;Plácido;Plácido;Placid;Placid;Placido;Placide;M
Plutarco;Plutarc;Plutarc;Plutarc;Plutarco;Plutarko;Plutarco;Plutarco;Plutarch;Plutarch;Plutarco;Plutarque;M
Porfirio;Porfiri;Porfiri;Porfiri;Porfirio;Porfirio;Porfírio;Porfírio;Porphyry;Porphyry;Porfirio;Porphyre;M
Prudencio;Prudenci;Prudenci;Prudenci;Prudencio;Prudentzio;Prudêncio;Prudêncio;Prudence;Prudence;Prudencio;Prudence;M
Purificación;Purificació;Purificació;Purificació;Purificación;Garbiñe;Purificação;Purificação;Purification;Purification;Purificacion;Purification;F
Quiteria;Quitèria;Quitèria;Quitèria;Quiteria;Kiteri;Quitéria;Quitéria;Quiteria;Quiteria;Quiteria;Quitterie;F
Rafael;Rafael;Rafael;Rafael;Rafael;Rafael;Rafael;Rafael;Raphael;Raphael;Rafe;Raphaël;M
Raimundo;Raimon;Raimon;Raimon;Raimundo;Erraimun;Raimundo;Raimundo;Raymond;Raymond;Ray;Raymond;M
Ramón;Ramon;Ramon;Ramon;Ramón;Erramun;Ramão;Ramão;Raymond;Raymond;Ramon;Raymond;M
Raquel;Raquel;Raquel;Raquel;Raquel;Rakel;Raquel;Raquel;Rachel;Rachel;Raquel;Rachel;F
Raúl;Raül;Raül;Raül;Raúl;Raul;Raul;Raul;Ralph;Ralph;Raul;Raoul;M
Regina;Regina;Regina;Regina;Rexina;Erregina;Regina;Regina;Regina;Regina;Regina;Régine;F
Remedios;Remei;Remei;Remei;Remedios;Remedio;Remédios;Remédios;Remedios;Remedios;Remedios;Remèdes;F
Renato;Renat;Renat;Renat;Renato;Renato;Renato;Renato;Renatus;Renatus;Renato;René;M
Reyes;Reis;Reis;Reis;Reis;Errege;Reis;Reis;Kings;Kings;Reyes;Rois;U
Ricardo;Ricard;Ricard;Ricard;Ricardo;Rikardo;Ricardo;Ricardo;Richard;Richard;Rich;Richard;M
Roberto;Robert;Robert;Robert;Roberto;Roberto;Roberto;Roberto;Robert;Robert;Bobby;Robert;M
Rocío;Rocío;Rocío;Rocío;Rocío;Irori;Rocio;Rocio;Dew;Dew;Rocio;Rosée;F
Rodrigo;Roderic;Roderic;Roderic;Rodrigo;Erroiduri;Rodrigo;Rodrigo;Roderick;Roderick;Rodrigo;Rodrigue;M
Rogelio;Rogeli;Rogeli;Rogeli;Roxelio;Rogelio;Rogério;Rogério;Roger;Roger;Rogelio;Roger;M
Romualdo;Romuald;Romuald;Romuald;Romualdo;Romualdo;Romualdo;Romualdo;Romuald;Romuald;Romualdo;Romuald;M
Rosa;Rosa;Rosa;Rosa;Rosa;Rosa;Rosa;Rosa;Rose;Rose;Rosa;Rose;F
Rosana;Rosana;Rosana;Rosana;Rosana;Rosana;Rosana;Rosana;Rosanne;Rosanne;Rosana;Rosane;F
Rosario;Roser;Roser;Roser;Rosario;Arrosa;Rosário;Rosário;Rosary;Rosary;Rosario;Rosaire;U
Roxana;Roxana;Roxana;Roxana;Roxana;Roxana;Rosana;Rosana;Roxanne;Roxanne;Roxana;Roxane;F
Roxane;Roxane;Roxane;Roxane;Roxane;Roxane;Rosana;Rosana;Roxanne;Roxanne;Roxane;Roxane;F
Rubén;Rubèn;Rubèn;Rubèn;Rubén;Ruben;Rúben;Rúben;Reuben;Reuben;Ruben;Ruben;M
Rufina;Rufina;Rufina;Rufina;Rufina;Rufine;Rufina;Rufina;Rufina;Rufina;Rufina;Rufine;F
Rufino;Rufí;Rufí;Rufí;Rufino;Rufin;Rufino;Rufino;Rufinus;Rufinus;Rufino;Rufin;M
Ruperto;Rupert;Rupert;Rupert;Ruperto;Ruperto;Ruperto;Ruperto;Rupert;Rupert;Ruperto;Rupert;M
Sabas;Saves;Saves;Saves;Sabas;Saba;Sabas;Sabas;Sabas;Sabas;Sabas;Sabas;M
Salvador;Salvador;Salvador;Salvador;Salvador;Gaizka;Salvador;Salvador;Salvador;Salvador;Salvador;Sauveur;M
Samuel;Samuel;Samuel;Samuel;Samuel;Samuel;Samuel;Samuel;Samuel;Samuel;Sam;Samuel;M
Santiago;Sant Jaume;Sant Jaume;Sant Jaume;Santiago;Jakue;Tiago;Tiago;James;James;Santiago;Jacques;M
Sara;Sara;Sara;Sara;Sara;Sara;Sara;Sara;Sarah;Sarah;Sara;Sarah;F
Saturnino;Saturní;Saturní;Saturní;Saturnino;Zaturdi;Saturnino;Saturnino;Saturninus;Saturninus;Saturnino;Saturnin;M
Sebastián;Sebastià;Sebastià;Sebastià;Sebastián;Sebas;Sebastião;Sebastião;Sebastian;Sebastian;Seb;Sébastien;M
Sergio;Sergi;Sergi;Sergi;Sergio;Sergi;Sérgio;Sérgio;Sergius;Sergius;Sergio;Serge;M
Severino;Severí;Severí;Severí;Severino;Seberin;Severino;Severino;Severinus;Severinus;Severino;Séverin;M
Silvestre;Silvestre;Silvestre;Silvestre;Silvestre;Silbestre;Silvestre;Silvestre;Silvester;Silvester;Silvestre;Sylvestre;M
Silvia;Sílvia;Sílvia;Sílvia;Silvia;Silbe;Sílvia;Sílvia;Sylvia;Sylvia;Silvia;Sylvie;F
Sofía;Sofia;Sofia;Sofia;Sofía;Sofia;Sofia;Sofia;Sophia;Sophia;Sofia;Sophie;F
Sonia;Sònia;Sònia;Sònia;Sonia;Sonia;Sónia;Sônia;Sonia;Sonia;Sonia;Sonia;F
Teócrito;Teòcrit;Teòcrit;Teòcrit;Teócrito;Teokrito;Teócrito;Teócrito;Theocritus;Theocritus;Teocrito;Théocrite;M
Teódora;Teodora;Teodora;Teodora;Teodora;Teodora;Teodora;Teodora;Theodora;Theodora;Teodora;Théodora;F
Teodoro;Teodor;Teodor;Teodor;Teodoro;Teodoro;Teodoro;Teodoro;Theodore;Theodore;Theo;Théodore;M
Teodosio;Teodosi;Teodosi;Teodosi;Teodosio;Teodosio;Teodósio;Teodósio;Theodosius;Theodosius;Teodosio;Théodose;M
Teódoto;Teòdot;Teòdot;Teòdot;Teódoto;Teodoto;Teódoto;Teódoto;Theodotus;Theodotus;Teodoto;Théodote;M
Teódula;Teòdula;Teòdula;Teòdula;Teódula;Teodula;Teódula;Teódula;Theodula;Theodula;Teodula;Théodule;F
Teófanes;Teòfanes;Teòfanes;Teòfanes;Teófanes;Teofanes;Teófanes;Teófanes;Theophanes;Theophanes;Teofanes;Théophane;M
Teófilo;Teòfil;Teòfil;Teòfil;Teófilo;Teofilo;Teófilo;Teófilo;Theophilus;Theophilus;Teofilo;Théophile;M
Teonila;Teonila;Teonila;Teonila;Teonila;Teonila;Teonila;Teonila;Theonilla;Theonilla;Teonila;Théonille;F
Teopista;Teopista;Teopista;Teopista;Teopista;Teopista;Teopista;Teopista;Theopista;Theopista;Teopista;Théopiste;F
Teresa;Teresa;Teresa;Teresa;Tareixa;Terexa;Teresa;Teresa;Theresa;Theresa;Tessa;Thérèse;F
Tiburcio;Tiburci;Tiburci;Tiburci;Tiburcio;Tiburzi;Tiburcio;Tiburcio;Tiburtius;Tiburtius;Tiburcio;Tiburce;M
Tomás;Tomàs;Tomàs;Tomàs;Tomé;Tomas;Tomás;Tomás;Thomas;Thomas;Tom;Thomas;M
Trinidad;Trinitat;Trinitat;Trinitat;Trindade;Hirutasuna;Trindade;Trindade;Trinity;Trinity;Trinidad;Trinité;U
Urbano;Urbà;Urbà;Urbà;Urbano;Urban;Urbano;Urbano;Urban;Urban;Urbano;Urbain;M
Valentín;Valentí;Valentí;Valentí;Valentín;Valentin;Valentim;Valentim;Valentine;Valentine;Valentin;Valentin;M
Vanesa;Vanesa;Vanesa;Vanesa;Vanesa;Banesa;Vanesa;Vanessa;Vanessa;Vanessa;Vanesa;Vanessa;F
Verónica;Verònica;Verònica;Verònica;Verónica;Beronika;Verónica;Verônica;Veronica;Veronica;Ronnie;Véronique;F
Vicenta;Vicenta;Vicenta;Vicenta;Vicenta;Bixenta;Vicenta;Vicenta;Vincentia;Vincentia;Vicenta;Vincente;F
Vicente;Vicent;Vicent;Vicent;Vicente;Bixente;Vicente;Vicente;Vincent;Vincent;Vince;Vincent;M
Víctor;Víctor;Víctor;Víctor;Vítor;Bitor;Vítor;Vítor;Victor;Victor;Victor;Victor;M
Victoria;Victòria;Victòria;Victòria;Vitoria;Bitori;Vitória;Vitória;Victoria;Victoria;Vicky;Victoire;F
Yolanda;Iolanda;Iolanda;Iolanda;Iolanda;Iolanda;Iolanda;Iolanda;Yolanda;Yolanda;Yolanda;Yolande;F
Zenobia;Zenòbia;Zenòbia;Zenòbia;Zenobia;Zenobia;Zenóbia;Zenóbia;Zenobia;Zenobia;Zenobia;Zénobie;F
Zenón;Zenó;Zenó;Zenó;Zenón;Zenon;Zenão;Zenão;Zeno;Zeno;Zenon;Zénon;M
Zoe;Zoe;Zoe;Zoe;Zoe;Zoe;Zoe;Zoe;Zoe;Zoe;Zoe;Zoé;F
Zoé;Zoe;Zoe;Zoe;Zoe;Zoe;Zoe;Zoe;Zoe;Zoe;Zoe;Zoé;F
Zósima;Zòsima;Zòsima;Zòsima;Zósima;Zosima;Zósima;Zósima;Zosima;Zosima;Zosima;Zosime;F
Zósimo;Zòsim;Zòsim;Zòsim;Zósimo;Zosimo;Zósimo;Zósimo;Zosimus;Zosimus;Zosimo;Zosime;M
