Nombre;Genero;Origen;Etimologia
Isabella;F;Italiano;Variante italiana de Isabel.
Isabelle;F;Francés;Variante francesa de Isabel.
Isaline;F;Francés;Derivado de Isabelle, influenciado por nombres como Aline.
Isaque;M;Portugués;Forma portuguesa de Isaac (el que ríe).
Isats;M;Vasco;Significa "retama" (planta).
Isidore;M;Griego/Francés;De 'Isidoros'. Significa "regalo de Isis".
Isidre;M;Catalán;Forma catalana de Isidoro.
Isidro;M;Español;Contracción de Isidoro.
Ismael;M;Hebreo;De 'Yishmael'. Significa "Dios escuchará".
Isolina;F;Germánico;De 'ishild'. Significa "guerrera de hierro".
Itsasne;F;Vasco;Equivalente a Mar o Milagros del Mar. Significa "marina".
Itsaso;U;Vasco;Significa "mar".
Itur;M;Vasco;Raíz de 'iturri' (fuente).
Iturri;M;Vasco;Significa "fuente".
Itxaro;F;Vasco;Significa "esperanza" o "esperar".
Itziar;F;Vasco;Significa "altura que mira al mar" o "campo de matorrales".
Ivone;F;Germánico;Femenino de Ivo. Significa "tejo" (árbol sagrado).
Ivy;F;Inglés;Significa "hiedra".
Izadi;F;Vasco;Significa "naturaleza".
Izan;M;Hebreo/Vasco;En hebreo: "perpetuo"; en vasco: adaptación fonética de Ethan.
Izar;F;Vasco;Significa "estrella".
Izaro;F;Vasco;Nombre de una isla. Significa "limonero" o relacionado con 'izar' (estrella).
Izaskun;F;Vasco;Advocación mariana. Significa "retama" o "lugar elevado".
Izotz;M;Vasco;Significa "hielo".
Jacinta;F;Griego;De 'hyakinthos'. Significa "flor de jacinto".
Jack;M;Inglés;Diminutivo medieval de Jenkin (Juan). Significa "Dios es misericordioso".
Jackson;M;Inglés;Significa "hijo de Jack".
Jacob;M;Hebreo;De 'Ya'aqov'. Significa "el que sostiene el talón" o "el que suplanta".
Jacqueline;F;Francés;Femenino de Jacques (Jacobo/Santiago).
Jacques;M;Francés;Forma francesa de Jacobo.
Jada;F;Hebreo;Significa "sabia".
Jade;F;Español/Francés;Referente a la piedra semipreciosa 'jade' (piedra del costado).
Jaden;M;Hebreo/Inglés;Derivado de Jadon (agradecido) o rima con Hayden.
Jaime;M;Hebreo/Español;Derivado de Jacob a través del latín 'Iacomus'.
Jamal;M;Árabe;Significa "belleza" o "elegancia".
Jamar;M;Americano;Combinación moderna de Jamal y Lamar.
James;M;Hebreo/Inglés;Forma inglesa de Jacobo.
Jamie;U;Inglés;Hipocorístico de James.
Jane;F;Hebreo/Inglés;Forma femenina de Juan. Significa "Dios es misericordioso".
Janelle;F;Americano;Diminutivo moderno de Jane.
Janet;F;Inglés;Diminutivo de Jane.
Janice;F;Inglés;Variante elaborada de Jane.
Jasmine;F;Persa;Significa "jazmín" (flor fragante).
Jason;M;Griego;De 'Iason'. Significa "curandero" o "el que sana".
Jaume;M;Catalán;Forma catalana de Jaime/Jacobo.
Javier;M;Vasco;De 'Etxeberri'. Significa "casa nueva".
Javon;M;Hebreo;Variante de Javan. Significa "Grecia" o "el que viene de lejos".
Javonte;M;Americano;Variante moderna de Javon.
Jaxon;M;Inglés;Variante moderna de Jackson.
Jay;U;Latín/Inglés;Abreviatura de nombres que empiezan por J o referente al ave (arrendajo).
Jayden;M;Hebreo/Inglés;Significa "Dios ha escuchado" o "agradecido".
Jayden;U;Americano;Uso unisex de Jayden.
Jayla;F;Americano;Variante femenina de Jay.
Jaylen;U;Americano;Combinación de Jay y el sufijo -len.
Jaylin;U;Americano;Variante de Jaylen.
Jean;F;Hebreo/Inglés;Variante de Jane.
Jean;M;Francés;Forma francesa de Juan.
Jeanne;F;Francés;Forma francesa de Juana.
Jeffrey;M;Germánico;De 'god' (Dios) y 'frid' (paz). "Paz de Dios".
Jennifer;F;Galés;De 'Gwenhwyfar'. Significa "blanca como la espuma de las olas".
Jeremiah;M;Hebreo;De 'Yirmiyahu'. Significa "Dios exalta".
Jeremy;M;Hebreo/Inglés;Forma inglesa de Jeremías.
Jerome;M;Griego;De 'Hieronymos'. Significa "nombre sagrado".
Jérôme;M;Francés;Forma francesa de Jerónimo.
Jerónimo;M;Griego;Significa "el del nombre sagrado".
Jerry;M;Inglés;Hipocorístico de Gerald, Gerard o Jeremy.
Jesse;M;Hebreo;De 'Yishai'. Significa "Dios existe" o "regalo de Dios".
Jesse;U;Americano;Uso unisex de Jesse.
Jessica;F;Hebreo;De 'Iskah'. Significa "la que mira" o "previsora".
Jéssica;F;Español;Variante de Jessica.
Jessie;U;Hebreo/Inglés;Hipocorístico de Jessica (la que mira) o de Jesse (regalo de Dios).
Jesús;M;Hebreo;De 'Yehoshua'. Significa "Yahvé es salvación".
Joan;F;Hebreo/Catalán;Forma catalana de Juana. Significa "Dios es misericordioso".
Joan;M;Hebreo/Catalán;Forma catalana de Juan.
Joana;F;Catalán/Portugués;Variante de Juana. Significa "Dios es piadoso".
Joanna;F;Hebreo/Polaco;Variante de Juana.
João;M;Portugués;Forma portuguesa de Juan.
Joaquim;M;Catalán/Portugués;Forma de Joaquín. Significa "Yahvé establecerá".
Joaquín;M;Hebreo;De 'Yoyaquim'. Significa "Yahvé construirá" o "Dios erigirá".
Jocelyn;F;Germánico;De 'Gautselin', referente a la tribu de los Gautas.
Joël;M;Hebreo/Francés;Significa "Yahvé es Dios".
John;M;Hebreo/Inglés;Forma inglesa de Juan. Significa "Dios es gracioso".
Jon;M;Vasco/Hebreo;Forma vasca de Juan.
Jonathan;M;Hebreo;De 'Yonatan'. Significa "don de Yahvé".
Jordan;F;Hebreo;Forma femenina de Jordán. Significa "la que desciende".
Jordan;M;Hebreo;De 'Yarden'. Referente al río Jordán.
Jordan;U;Hebreo;Uso unisex de Jordan.
Jordi;M;Catalán;Forma catalana de Jorge. Significa "trabajador de la tierra".
Jorge;M;Griego;De 'georgos'. Significa "agricultor" o "el que trabaja la tierra".
José;M;Hebreo;De 'Yosef'. Significa "Dios añadirá".
Josefa;F;Hebreo;Forma femenina de José.
Josefina;F;Hebreo/Español;Diminutivo de Josefa.
Josep;M;Catalán;Forma catalana de José.
Josepa;F;Catalán;Forma femenina catalana de José.
Joseph;M;Hebreo/Francés;Forma francesa e inglesa de José.
Joséphine;F;Francés;Forma femenina francesa de José.
Josette;F;Francés;Diminutivo francés de Josefa.
Joshua;M;Hebreo;De 'Yehoshua'. Significa "Dios es mi salvación" (forma original de Jesús).
Josselin;M;Francés;Variante masculina de Jocelyn.
Joy;F;Latín/Inglés;Significa "alegría" o "regocijo".
Juan;M;Hebreo;De 'Yohanan'. Significa "Dios es misericordioso".
Judith;F;Hebreo;De 'Yehudit'. Significa "la judía" o "alabada".
Julen;M;Vasco;Forma vasca de Julián. Significa "de raíces fuertes" o "perteneciente a Julio".
Jules;M;Latín/Francés;Forma francesa de Julio. Significa "descendiente de Julo".
Jules;U;Latín/Francés;Uso unisex moderno.
Julia;F;Latín;Femenino de Julio. Significa "consagrada a Júpiter" o "de cabello suave".
Júlia;F;Catalán;Forma catalana de Julia.
Julian;M;Latín/Inglés;Variante de Julián.
Julián;M;Latín;De 'Iulianus'. Significa "de la familia de Julio".
Juliana;F;Latín;Femenino de Julián.
Julie;F;Francés;Forma francesa de Julia.
Julien;M;Francés;Forma francesa de Julián.
Juliette;F;Francés;Diminutivo francés de Julia.
Julio;M;Latín;De 'Iulius'. Nombre de la familia romana de Julio César.
June;F;Latín/Inglés;Referente al mes de junio (dedicado a la diosa Juno).
Justice;U;Latín/Inglés;Significa "justicia".
Justin;M;Latín;De 'Iustinus'. Significa "justo" o "recto".
Justina;F;Latín;Femenino de Justin.
Kai;U;Hawaiano/Estonio;En hawaiano "mar"; en estonio "muelle".
Kareem;M;Árabe;Significa "generoso" o "noble".
Karen;F;Griego/Danés;Forma danesa de Catalina. Significa "pura".
Katherine;F;Griego/Inglés;Variante de Catalina. Significa "inmaculada".
Kathleen;F;Irlandés;Forma irlandesa de Catalina.
Kattalin;F;Vasco;Forma vasca de Catalina.
Kayla;F;Hebreo/Inglés;De 'Kelila'. Significa "corona" o "laurel".
Keisha;F;Americano;Origen incierto, posiblemente del hebreo 'Cassia' (especia).
Keith;M;Celta/Escocés;De 'cet'. Significa "bosque" o "lugar boscoso".
Kelly;F;Gaélico/Irlandés;De 'ceallach'. Significa "guerrera" o "asidua a la iglesia".
Kelly;U;Gaélico;Uso unisex de Kelly.
Kelsey;F;Inglés;De 'Ceolsige'. Significa "isla de barcos" o "victoria naval".
Kemen;M;Vasco;Significa "valor", "vigor" o "fortaleza".
Kendall;U;Inglés;De la ciudad de Kendal. Significa "valle del río Kent".
Kennedy;U;Gaélico;De 'Cennétig'. Significa "cabeza con casco" o "cabeza deformada".
Kenneth;M;Gaélico;De 'Cinaed'. Significa "nacido del fuego" o "bien parecido".
Kepa;M;Vasco;Forma vasca de Pedro. Significa "piedra" o "roca".
Kerman;M;Vasco;Forma vasca de Germán. Significa "hermano".
Keshawn;M;Americano;Combinación moderna de 'Ke-' y Shawn (Juan).
Kevin;M;Gaélico;De 'Caoimhín'. Significa "de noble nacimiento" o "atractivo al nacer".
Keyshawn;M;Americano;Variante de Keshawn.
Kiana;F;Hawaiano;Forma hawaiana de Diana. Significa "divina".
Kiara;F;Irlandés/Italiano;Variante de Ciara (oscura) o Clara (brillante).
Kiesha;F;Americano;Variante de Keisha.
Kim;U;Inglés;Hipocorístico de Kimberly o del vietnamita "oro".
Kimberly;F;Inglés;De 'Cyneburge-leah'. Significa "prado de la fortaleza real".
Kizkitza;M;Vasco;Nombre de advocación mariana local.
Koldo;M;Vasco;Forma abreviada de Koldobika (Luis). Significa "guerrero ilustre".
Kristen;F;Latín/Escandinavo;Variante de Cristina. Significa "seguidora de Cristo".
Kyle;M;Gaélico;De 'caol'. Significa "estrecho" (geográfico) o "canal".
Kyle;U;Gaélico;Uso unisex de Kyle.
Kyrie;U;Griego;De 'Kyrios'. Significa "Señor".
Laetitia;F;Latín;Significa "alegría" o "felicidad".
Laia;F;Catalán/Griego;Diminutivo catalán de Eulalia. Significa "la que habla bien".
Laida;F;Vasco;Nombre de una playa en Vizcaya.
Lain;M;Vasco;Significa "niebla".
Lamont;M;Nórdico/Escocés;De 'Logmaðr'. Significa "hombre de leyes".
Lander;M;Vasco;Significa "pobre", "peregrino" o "león de hombres" (del griego).
Landon;M;Inglés;De 'lang' (largo) y 'dun' (colina). "Colina larga".
LaQuisha;F;Americano;Nombre moderno con prefijo africano-americano.
Lara;F;Latín/Griego;En latín "nombre de una ninfa"; en griego "alegre" o "citara".
Larissa;F;Griego;Significa "ciudad" o "la que es alegre".
Larrun;M;Vasco;Nombre de un monte sagrado en el Pirineo vasco.
LaShonda;F;Americano;Combinación moderna con prefijo africano-americano.
LaTanya;F;Americano;Variante moderna de Tania.
Latoya;F;Americano;Significa "la victoriosa" (mezcla de español e inglés).
Latrell;M;Americano;Nombre moderno de creación reciente.
Laura;F;Latín;De 'laurus'. Significa "laurel" o "victoriosa".
Lauren;F;Latín/Inglés;Variante de Laura o Lorenzo.
Laurence;F;Francés/Latín;Femenino de Laurent (Lorenzo).
Laurent;M;Latín/Francés;Forma francesa de Lorenzo.
Lawrence;M;Latín;Variante inglesa de Lorenzo. Significa "coronado de laurel".
Lazare;M;Hebreo/Francés;Forma francesa de Lázaro.
Lázaro;M;Hebreo;De 'Eleazar'. Significa "Dios ha ayudado".
Léa;F;Hebreo;Forma francesa de Leah. Significa "cansada" o "melancólica".
Leah;F;Hebreo;De 'Le'ah'. Significa "vaca salvaje" o "la que está cansada".
Léandre;M;Griego/Francés;De 'Leandros'. Significa "hombre-león".
Leandro;M;Griego;De 'Leon' (león) y 'andros' (hombre). "Hombre valiente como un león".
LeBron;M;Americano;Nombre moderno de origen incierto, popularizado en EE. UU.
Lee;U;Inglés;De 'leah'. Significa "prado" o "claro en el bosque".
Leire;F;Vasco;Nombre de un monasterio navarro. Proviene del latín 'Leger'.
Léo;M;Latín/Francés;Forma corta de Léon o Léonard. Significa "león".
León;M;Latín;De 'leo'. Significa "león", símbolo de fiereza y valor.
Léon;M;Francés;Variante francesa de León.
Leonard;M;Germánico;De 'levon' (león) y 'hard' (fuerte). "Fuerte como un león".
Leonardo;M;Germánico;Variante italiana y española de Leonard.
Léonie;F;Latín/Francés;Femenino de León. Significa "leona".
Leonor;F;Griego/Francés;Variante de Elena. Significa "que brilla" o "luz".
Léopold;M;Germánico;De 'liut' (pueblo) y 'pold' (audaz). "Pueblo audaz".
Leopoldo;M;Germánico;Variante española de Léopold.
Leticia;F;Latín;De 'laetitia'. Significa "alegría" o "felicidad".
Letícia;F;Catalán/Portugués;Variante de Leticia.
Liam;M;Irlandés;Forma corta de Uilliam (Guillermo). Significa "protector firme".
Libe;F;Vasco;Variante de Libia o del vasco 'libe' (libertad).
Lide;F;Vasco;Forma vasca de Lidia.
Lidia;F;Griego;Significa "la que viene de Lidia" (región de Asia Menor).
Lídia;F;Catalán/Portugués;Variante de Lidia.
Liliane;F;Latín/Francés;Derivado de 'lilium' (lirio). Significa "pureza".
Lillian;F;Latín/Inglés;Variante de Lilia o Elizabeth.
Lily;F;Latín/Inglés;Significa "lirio", símbolo de pureza.
Linda;F;Germánico/Español;Significa "suave" (germánico) o "bella" (español).
Lionel;M;Latín/Francés;Diminutivo de León. Significa "pequeño león".
Lisa;F;Hebreo;Diminutivo de Elizabeth (Dios es mi juramento).
Lisardo;M;Germánico;De 'lis' (brillante) y 'hard' (fuerte). "Fuerte y brillante".
Lison;F;Francés;Diminutivo francés de Louise o Elizabeth.
Lito;M;Español;Sufijo hipocorístico común (de Manuelito, Angelito, etc.).
Lizar;M;Vasco;Significa "fresno" (árbol).
Llorenç;M;Catalán;Forma catalana de Lorenzo.
Lluc;M;Catalán;Forma catalana de Lucas. Significa "luminoso".
Lluís;M;Catalán;Forma catalana de Luis. Significa "guerrero ilustre".
Logan;M;Gaélico;De 'lagan'. Significa "pequeño hueco" o "hondonada".
Logan;U;Gaélico;Uso unisex de Logan.
Loïc;M;Bretón;Forma bretona de Luis.
Lois;F;Griego/Inglés;Significa "la mejor" o "deseable".
Lois;M;Gallego;Forma gallega de Luis.
London;U;Inglés;Nombre de la capital británica, de origen celta incierto.
Lorea;F;Vasco;Significa "la flor".
Loredi;F;Vasco;De 'lore' (flor) y 'edi' (hermosa). "Lugar de flores".
Lorena;F;Francés;Significa "la que viene de Lorena" (región de Francia).
Lorenzo;M;Latín;De 'Laurentius'. Significa "natural de Laurentum" (ciudad del laurel).
Lorette;F;Francés;Diminutivo de Laura o referente a Loreto.
Loretxe;F;Vasco;De 'lore' (flor) y 'etxe' (casa). "Casa de flores".
Loretxo;M;Vasco;Significa "florecilla".
Louis;M;Germánico/Francés;De 'Hlodowig'. Significa "guerrero famoso".
Louise;F;Germánico/Francés;Femenino de Louis.
Louison;F;Francés;Hipocorístico francés de Louise.
Lourenço;M;Portugués;Forma portuguesa de Lorenzo.
Lúa;F;Gallego;Significa "luna".
Luana;F;Germánico/Polinesio;En germánico "guerrera agraciada"; en hawaiano "feliz".
Luc;M;Francés;Forma francesa de Lucas.
Lucas;M;Latín/Griego;Significa "el que destaca por su brillo" o "luminoso".
Lucía;F;Latín;De 'lux'. Significa "la que nació a la luz del día".
Lucie;F;Francés;Forma francesa de Lucía.
Lucien;M;Francés;Derivado de Lucio/Lucas. Significa "perteneciente a la luz".
Lucienne;F;Francés;Femenino de Lucien.
Lucy;F;Latín/Inglés;Forma inglesa de Lucía.
Luis;M;Germánico;De 'Hlodowig'. Significa "guerrero victorioso".
Luís;M;Portugués;Variante de Luis.
Luísa;F;Portugués;Femenino de Luis.
Lur;F;Vasco;Significa "tierra".
Lydia;F;Griego/Inglés;Significa "mujer de Lidia".
Lynn;U;Galés;De 'llyn'. Significa "lago" o "cascada".
Macià;M;Catalán;Forma catalana de Matías. Significa "don de Dios".
Maddi;F;Vasco;Forma vasca de Mari o María.
Madeleine;F;Hebreo/Francés;Significa "la que viene de Magdala".
Madeline;F;Inglés;Variante de Madeleine.
Madison;F;Inglés;Significa "hijo de Maud" o "hijo de Mateo".
Madison;U;Inglés;Uso unisex de Madison.
Maëlle;F;Bretón;De 'mael'. Significa "princesa" o "jefa".
Mafalda;F;Germánico;Variante de Matilde. Significa "guerrera fuerte".
Magali;F;Provenzal;Variante de Margarita o Magdalena.
Magda;F;Hebreo;Forma corta de Magdalena.
Mahaut;F;Germánico;Forma medieval francesa de Matilde. Significa "guerrera fuerte y poderosa".
Maialen;F;Vasco;Forma vasca de Magdalena. Significa "la que viene de Magdala".
Maider;F;Vasco;Contracción vasca de Maria Eder. Significa "María hermosa".
Maïlys;F;Francés/Provenzal;Diminutivo provenzal de Marie o Magali.
Maiola;F;Vasco;Nombre referente a la primavera o mes de mayo.
Maite;F;Vasco;Significa "amada" o "querida".
Makayla;F;Hebreo;Variante de Micaela. Significa "¿quién como Dios?".
Malcolm;M;Gaélico;De 'Máel Coluim'. Significa "discípulo de San Columba".
Malen;F;Vasco;Variante de Maialen (Magdalena).
Malik;M;Árabe;Significa "rey" o "soberano".
Manel;M;Catalán;Forma catalana de Manuel. Significa "Dios está con nosotros".
Manon;F;Francés;Diminutivo francés de Marie/María.
Manuel;M;Hebreo;Forma abreviada de Emmanuel. Significa "Dios está con nosotros".
Manuela;F;Hebreo;Forma femenina de Manuel.
Manuelle;F;Francés;Forma femenina francesa de Manuel.
Mara;F;Hebreo;De 'Marah'. Significa "amarga" o "triste".
Marc;M;Catalán/Francés;Forma de Marcos. Significa "consagrado a Marte" (dios de la guerra).
Marceau;M;Francés;Forma francesa de Marcelo.
Marcel;M;Francés;Forma francesa de Marcelo. Diminutivo de Marcus.
Marcelline;F;Francés;Femenino de Marcelino. Significa "pequeña guerrera".
Marcelo;M;Latín;De 'Marcellus', diminutivo de Marcus.
Márcio;M;Portugués;Forma portuguesa de Marcio. Significa "perteneciente a Marte".
Marcos;M;Latín;De 'Marcus'. Significa "consagrado a Marte" o "hombre fuerte".
Marcus;M;Latín;Variante latina/inglesa de Marcos.
Margalida;F;Catalán;Forma catalana de Margarita. Significa "perla".
Margaret;F;Griego/Inglés;De 'margarites'. Significa "perla".
Margarida;F;Portugués/Gallego;Forma de Margarita (perla).
Margaux;F;Francés;Variante de Margot/Margarita. También un viñedo francés.
Margot;F;Francés;Diminutivo de Marguerite (Margarita).
Marguerite;F;Francés;Forma francesa de Margarita.
Maria;F;Hebreo/Latín;De 'Miryam'. Significa "amada por Dios", "rebelde" o "mar de amargura".
María;F;Hebreo/Español;Variante de Maria.
María Antonia;F;Compuesto;Combinación de María y Antonia ("digna de alabanza").
María Xosé;F;Gallego;Forma gallega de María José.
Marian;F;Hebreo/Latín;Combinación de María y Ana o diminutivo medieval de María.
Mariana;F;Latín/Hebreo;Femenino de Mariano (perteneciente a Mario) o compuesto de María y Ana.
Marie;F;Francés;Forma francesa de María.
Marielle;F;Francés;Diminutivo francés de Marie.
Marilou;F;Francés/Inglés;Compuesto de Marie y Louise o Lou.
Marilyn;F;Inglés;Compuesto de Mary (María) y Lynn (lago/cascada).
Marin;M;Francés/Latín;De 'marinus'. Significa "del mar" o "marino".
Marina;F;Latín;Femenino de Marino. Significa "perteneciente al mar".
Mário;M;Portugués;Forma portuguesa de Mario.
Marion;F;Francés;Diminutivo medieval francés de Marie.
Marion;U;Francés/Inglés;Uso unisex moderno en países angloparlantes.
Marisa;F;Español/Italiano;Contracción de María Luisa o María Isabel.
Marisol;F;Español;Contracción de María de la Soledad o María y Sol.
Mark;M;Latín/Inglés;Forma inglesa de Marcos (consagrado a Marte).
Markel;M;Vasco;Forma vasca de Marcelo o Marcos.
Marlène;F;Francés/Alemán;Contracción de Maria y Magdalene (Magdalena).
Marley;U;Inglés;De 'mere' (lago/frontera) y 'leah' (prado). "Prado junto al lago".
Marquis;M;Francés;Título de nobleza. Significa "marqués" o "señor de la frontera".
Marquise;M;Francés;Forma francesa de Marquis.
Marta;F;Arameo;De 'marta'. Significa "señora" o "dama".
Martha;F;Arameo/Inglés;Variante de Marta.
Martim;M;Portugués;Forma portuguesa de Martín.
Martin;M;Latín/Inglés;De 'Martinus', derivado de 'Mars' (Marte). Significa "guerrero" o "consagrado a Marte".
Martín;M;Latín/Español;Variante de Martin.
Martine;F;Francés;Forma femenina francesa de Martín.
Martiño;M;Gallego;Forma gallega de Martín.
Maruxa;F;Gallego;Diminutivo cariñoso gallego de María.
Mary;F;Hebreo/Inglés;Forma inglesa de María.
Mason;M;Francés;Nombre ocupacional. Significa "cantero" o "albañil".
Mason;U;Inglés;Uso unisex de Mason.
Mateo;M;Hebreo;De 'Mattityahu'. Significa "don de Dios".
Mateu;M;Catalán;Forma catalana de Mateo.
Matheus;M;Portugués;Forma latina de Mateo.
Mathieu;M;Francés;Forma francesa de Mateo.
Mathilde;F;Germánico;De 'maht' (fuerza) y 'hild' (batalla). Significa "guerrera poderosa".
Matías;M;Hebreo;Variante de Mateo. Significa "regalo de Dios".
Matilda;F;Germánico/Inglés;Variante de Matilde.
Matilde;F;Germánico;Significa "guerrera fuerte".
Matthew;M;Hebreo/Inglés;Forma inglesa de Mateo.
Matthieu;M;Francés;Variante de Mateo.
Maurice;M;Latín/Francés;De 'Mauritius'. Significa "moro" (de Mauritania) u "oscuro".
Maurício;M;Portugués;Forma portuguesa de Mauricio.
Max;U;Latín;Forma corta de Maximilian (el más grande) o Maxwell (arroyo grande).
Maxence;M;Latín/Francés;De 'Maxentius'. Significa "el más grande".
Maxime;M;Latín/Francés;De 'Maximus'. Significa "el más grande" o "el mayor".
Médéric;M;Germánico/Francés;De 'maht' (poder) y 'ric' (gobernante). "Gobernante poderoso".
Megan;F;Galés/Inglés;Diminutivo galés de Margaret (Margarita).
Melanie;F;Griego;De 'melaina'. Significa "oscura" o "negra".
Mélanie;F;Francés;Variante francesa de Melanie.
Melisa;F;Griego;De 'melissa'. Significa "abeja" o "miel".
Melissa;F;Griego;Variante de Melisa.
Mencía;F;Español/Latín;Nombre medieval, posiblemente de 'dominica' (del Señor) o 'clementia' (clemencia).
Mercè;F;Catalán;De 'merces'. Significa "merced", "gracia" o "misericordia".
Mercedes;F;Español/Latín;De 'mercedes'. Significa "misericordias" o "gracias".
Mia;F;Escandinavo/Hebreo;Diminutivo de María. Significa "amada" o "mía".
Micaela;F;Hebreo;Femenino de Miguel. Significa "¿quién como Dios?".
Michael;M;Hebreo;De 'Mikha'el'. Significa "¿quién como Dios?".
Michel;M;Francés;Forma francesa de Miguel.
Michele;F;Italiano;Forma femenina italiana de Miguel.
Michelle;F;Francés/Inglés;Forma femenina francesa/inglesa de Miguel.
Miguel;M;Hebreo;De 'Mikha'el'. Significa "¿quién (es comparable) a Dios?".
Mikel;M;Vasco;Forma vasca de Miguel.
Mikelats;M;Vasco;Personaje de la mitología vasca, hermano de Atarrabi (personifica el mal).
Milagros;F;Español/Latín;Del latín 'miraculum'. Significa "milagros", advocación mariana.
Milan;U;Eslavo/Húngaro;Del eslavo 'mil' (gracioso/amado) o de la ciudad italiana.
Miquel;M;Catalán;Forma catalana de Miguel.
Miquela;F;Catalán;Forma femenina catalana de Miguel.
Miqueló;M;Catalán;Diminutivo o hipocorístico de Miquel.
Mireia;F;Catalán/Provenzal;Del provenzal 'mirar' (admirarse). Significa "admirable".
Mireille;F;Francés/Provenzal;Variante francesa de Mireia.
Mitchell;M;Inglés;Forma medieval de Michael (Miguel).
Modeste;M;Latín/Francés;De 'modestus'. Significa "moderado" o "modesto".
Molly;F;Inglés;Hipocorístico medieval de Mary (María).
Monica;F;Latín/Fenicio;De origen incierto, posiblemente "consejera" (latín) o "única" (fenicio).
Mónica;F;Latín/Español;Variante de Monica.
Mònica;F;Catalán;Variante de Monica.
Monique;F;Francés;Forma francesa de Monica.
Montserrat;F;Catalán;Topónimo catalán. Significa "monte aserrado" (referencia al santuario).
Morgan;U;Galés/Celta;De 'mor' (mar) y 'cant' (círculo) o 'gen' (nacido). Significa "nacido del mar".
Mylène;F;Francés;Combinación de Marie y Hélène.
Nadine;F;Ruso/Francés;Forma francesa del ruso Nadezhda. Significa "esperanza".
Nagore;U;Vasco;Topónimo y nombre de advocación mariana.
Nahia;F;Vasco;Significa "deseo" o "aspiración".
Nahia;U;Vasco;Uso unisex de Nahia.
Naiara;F;Vasco;Topónimo de Nájera (La Rioja). Significa "sobre la roca".
Nancy;F;Hebreo/Inglés;Diminutivo medieval de Agnes (pura) o Ana (gracia).
Naomi;F;Hebreo;De 'Na'omi'. Significa "mi deleite" o "agradable".
Narcís;M;Catalán;Forma catalana de Narciso.
Natalia;F;Latín;De 'natalis'. Significa "nacimiento" o "nacida en Navidad".
Natália;F;Portugués;Variante de Natalia.
Natalie;F;Francés/Inglés;Variante de Natalia.
Nathalie;F;Francés;Variante francesa de Natalia.
Nathan;M;Hebreo;De 'Natan'. Significa "donante" o "regalo de Dios".
Nathaniel;M;Hebreo;De 'Netan'el'. Significa "Dios ha dado".
Nekane;F;Vasco;Forma vasca de Dolores. Significa "dolores".
Nerea;F;Vasco/Griego;En vasco: "mía"; en griego: "ninfa marina".
Neus;F;Catalán;Abreviatura de 'Mare de Déu de les Neus' (Nuestra Señora de las Nieves).
Nia;F;Gaélico/Suajili;En gaélico: "brillo"; en suajili: "propósito".
Nicanor;M;Griego;De 'nike' (victoria) y 'aner' (hombre). Significa "hombre victorioso".
Nicholas;M;Griego/Inglés;De 'Nikolaos'. Significa "victoria del pueblo".
Nicolas;M;Francés;Forma francesa de Nicolás.
Nicolás;M;Griego;Variante de Nicholas.
Nicolau;M;Gallego/Portugués;Forma de Nicolás.
Nicole;F;Griego/Francés;Forma femenina de Nicolás.
Nil;M;Catalán/Latín;Del río Nilo o forma catalana de Cornelio.
Nina;F;Eslavo/Hebreo;Diminutivo de nombres con -nina o del hebreo "favor".
Ninette;F;Francés;Diminutivo de Nina o Anne.
Nimué;F;Celta/Artúrico;Nombre de la "Dama del Lago". Significa "la que vive en el agua" o "ninfa".
Noa;F;Hebreo;De 'No'ah'. Significa "moción", "movimiento" o "consuelo".
Noah;M;Hebreo;De 'Noach'. Significa "descanso", "paz" o "consuelo".
Noé;M;Hebreo/Francés;Forma española y francesa de Noah (descanso).
Noel;U;Latín/Francés;De 'natalis'. Significa "nacimiento" o "relativo a la Navidad".
Noël;M;Francés;Variante francesa de Noel.
Noela;F;Gallego;Femenino de Noel. Significa "nacida en Navidad".
Noelia;F;Español/Francés;Derivado de Noel. Significa "la que celebra la Navidad".
Noëlle;F;Francés;Femenino de Noël.
Noemí;F;Hebreo;De 'No'omi'. Significa "mi dulzura" o "mi delicia".
Noémia;F;Portugués;Forma portuguesa de Noemí.
Noémie;F;Francés;Forma francesa de Noemí.
Nofre;M;Catalán;Forma corta de Onofre.
Norman;M;Germánico;De 'north-man'. Significa "hombre del norte" o "normando".
Nuno;M;Latín;De 'nunnus' (abuelo) o 'nonus' (noveno). Común en la Edad Media ibérica.
Nuria;F;Catalán/Árabe;Del árabe 'nuur' (luz). Refiere a la Virgen de Nuria (Pirineos).
Núria;F;Catalán;Forma ortográfica catalana de Nuria.
Obdulia;F;Árabe/Latín;Del árabe 'Abd-Allah' (sierva de Dios) o del latín 'ob-dulcis' (muy dulce).
Océane;F;Griego/Francés;De 'okeanos'. Significa "océano" o "relativa al mar".
Octave;M;Latín/Francés;De 'Octavius'. Significa "el octavo (hijo)".
Odei;M;Vasco;Variante de Hodei. Significa "nube".
Odete;F;Francés/Germánico;De 'odo'. Significa "riqueza", "tesoro" o "propiedad".
Odilon;M;Germánico/Francés;Variante de Odón. Significa "pequeño poseedor de riquezas".
Odon;M;Germánico/Francés;De 'odo'. Significa "dueño de riquezas" o "patrimonio".
Ofélia;F;Griego;De 'ophelia'. Significa "la que ayuda" o "socorro".
